tick,scent_id,energy,x,y,
2226,11,576.3999999999642,68,44,
2226,13,886.4999999999966,92,46,
2251,11,600.6999999999632,68,44,
2251,12,1289.399999999982,2,43,
2251,13,883.9999999999955,92,46,
2276,13,879.4999999999943,92,46,
2276,12,1359.8999999999808,2,43,
2276,11,609.1999999999621,68,44,
2301,14,940.7999999999993,95,39,
2301,11,615.099999999961,68,44,
2301,12,926.3999999999796,2,43,
2301,13,885.9999999999932,92,46,
2326,13,868.499999999992,92,46,
2326,14,855.2999999999981,95,39,
2326,12,972.8999999999785,2,43,
2326,11,720.5999999999599,68,44,
2351,13,846.9999999999909,92,46,
2351,14,840.799999999997,95,39,
2351,11,777.0999999999588,68,44,
2351,12,997.3999999999774,2,43,
2376,13,806.4999999999898,92,46,
2376,12,1041.8999999999762,2,43,
2376,14,830.2999999999959,95,39,
2376,11,802.5999999999576,68,44,
2401,11,827.0999999999565,68,44,
2401,13,787.9999999999886,92,46,
2401,12,1053.399999999975,2,43,
2401,14,836.7999999999947,95,39,
2426,12,1045.899999999974,2,43,
2426,11,850.5999999999553,68,44,
2426,14,813.2999999999936,95,39,
2426,13,759.4999999999875,92,46,
2451,14,806.7999999999925,95,39,
2451,13,743.9999999999864,92,46,
2451,11,903.0999999999542,68,44,
2451,12,1015.3999999999728,2,43,
2476,13,708.4999999999852,92,46,
2476,12,992.8999999999717,2,43,
2476,14,789.2999999999913,95,39,
2476,11,978.5999999999531,68,44,
2501,12,960.3999999999705,2,43,
2501,11,982.0999999999519,68,44,
2501,13,695.9999999999841,92,46,
2501,14,763.7999999999902,95,39,
2526,14,742.799999999989,95,39,
2526,13,696.999999999983,92,46,
2526,11,1059.5999999999508,68,44,
2526,12,924.8999999999694,2,43,
2551,14,702.2999999999879,95,39,
